Year,Tm,W,L,R/G,BA,OBP,SLG,OPS
2005,CHW,99,63,4.57,0.262,0.322,0.425,0.747
2005,CHC,79,83,4.34,0.27,0.324,0.44,0.764
2005,CIN,73,89,5.03,0.261,0.33899999999999997,0.446,0.785
2005,CLE,93,69,4.88,0.271,0.33399999999999996,0.45299999999999996,0.787
2005,COL,67,95,4.57,0.267,0.33299999999999996,0.41100000000000003,0.7440000000000001
2005,DET,71,91,4.46,0.272,0.321,0.428,0.75
2005,FLA,83,79,4.43,0.272,0.33899999999999997,0.409,0.748
2005,HOU,89,73,4.25,0.256,0.322,0.408,0.73
2005,KCR,56,106,4.33,0.263,0.32,0.396,0.716
2005,LAA,95,67,4.7,0.27,0.325,0.409,0.7340000000000001
2005,LAD,71,91,4.23,0.253,0.326,0.395,0.721
2005,MIL,81,81,4.48,0.259,0.331,0.423,0.754
2005,MIN,83,79,4.25,0.259,0.32299999999999995,0.391,0.7140000000000001
2005,NYY,95,67,5.47,0.276,0.355,0.45,0.805
2005,NYM,83,79,4.46,0.258,0.322,0.41600000000000004,0.738
2005,OAK,88,74,4.77,0.262,0.33,0.40700000000000003,0.737
2005,PHI,88,74,4.98,0.27,0.348,0.423,0.772
2005,PIT,67,95,4.2,0.259,0.322,0.4,0.723
2005,SDP,82,80,4.22,0.257,0.33299999999999996,0.391,0.7240000000000001
2005,SEA,69,93,4.31,0.256,0.317,0.391,0.7090000000000001
2005,SFG,75,87,4.01,0.261,0.319,0.396,0.7140000000000001
2005,STL,100,62,4.97,0.27,0.33899999999999997,0.423,0.762
2005,TBD,67,95,4.63,0.27399999999999997,0.32899999999999996,0.425,0.754
2005,TEX,79,83,5.34,0.267,0.32899999999999996,0.46799999999999997,0.7979999999999999
2005,TOR,80,82,4.78,0.265,0.331,0.40700000000000003,0.738
2005,WSN,81,81,3.94,0.252,0.322,0.386,0.708
2006,ARI,76,86,4.77,0.267,0.331,0.424,0.755
2006,ATL,79,83,5.24,0.27,0.337,0.455,0.7909999999999999
2006,BAL,70,92,4.74,0.27699999999999997,0.33899999999999997,0.424,0.763
2006,BOS,86,76,5.06,0.26899999999999996,0.35100000000000003,0.435,0.7859999999999999
2006,CHW,90,72,5.36,0.28,0.342,0.46399999999999997,0.8059999999999999
2006,CHC,66,96,4.42,0.268,0.319,0.42200000000000004,0.741
2006,CIN,80,82,4.62,0.257,0.336,0.43200000000000005,0.768
2006,CLE,78,84,5.37,0.28,0.349,0.457,0.8059999999999999
2006,COL,76,86,5.02,0.27,0.341,0.433,0.774
2006,DET,95,67,5.07,0.27399999999999997,0.32899999999999996,0.449,0.777
2006,FLA,78,84,4.68,0.264,0.331,0.435,0.7659999999999999
2006,HOU,82,80,4.54,0.255,0.332,0.409,0.741
2006,KCR,62,100,4.67,0.271,0.332,0.41100000000000003,0.743
2006,LAA,89,73,4.73,0.27399999999999997,0.33399999999999996,0.425,0.759
2006,LAD,88,74,5.06,0.276,0.348,0.43200000000000005,0.7809999999999999
2006,MIL,75,87,4.51,0.258,0.327,0.42,0.747
2006,MIN,96,66,4.94,0.287,0.34700000000000003,0.425,0.7709999999999999
2006,NYY,97,65,5.74,0.285,0.363,0.461,0.8240000000000001
2006,NYM,97,65,5.15,0.264,0.33399999999999996,0.445,0.78
2006,OAK,93,69,4.76,0.26,0.34,0.41200000000000003,0.752
2006,PHI,85,77,5.34,0.267,0.34700000000000003,0.447,0.794
2006,PIT,67,95,4.27,0.263,0.327,0.397,0.723
2006,SDP,88,74,4.51,0.263,0.332,0.41600000000000004,0.7490000000000001
2006,SEA,78,84,4.67,0.272,0.325,0.424,0.7490000000000001
