Year,Tm,W,L,R/G,BA,OBP,SLG,OPS,ADV
2009,BOS,95,67,5.38,0.27,0.352,0.454,0.806,1
2009,CHW,79,83,4.47,0.258,0.329,0.411,0.74,0
2009,CHC,83,78,4.39,0.255,0.332,0.407,0.738,0
2009,CIN,78,84,4.15,0.247,0.318,0.394,0.712,0
2009,CLE,65,97,4.77,0.264,0.339,0.417,0.756,0
2009,COL,92,70,4.96,0.261,0.343,0.441,0.784,1
2009,DET,86,77,4.56,0.26,0.331,0.416,0.747,0
2009,FLA,87,75,4.77,0.268,0.34,0.416,0.756,0
2009,HOU,74,88,3.97,0.26,0.319,0.4,0.719,0
2009,KCR,65,97,4.23,0.259,0.318,0.405,0.724,0
2009,LAA,97,65,5.45,0.285,0.35,0.441,0.792,1
2009,LAD,95,67,4.81,0.27,0.346,0.412,0.758,1
2009,MIL,80,82,4.85,0.263,0.341,0.426,0.767,0
2009,MIN,87,76,5.01,0.274,0.345,0.429,0.774,1
2009,NYY,103,59,5.65,0.283,0.362,0.478,0.839,0
2009,NYM,70,92,4.14,0.27,0.335,0.394,0.729,1
2009,OAK,75,87,4.69,0.262,0.328,0.397,0.726,0
2009,PHI,93,69,5.06,0.258,0.334,0.447,0.781,1
2009,PIT,62,99,3.95,0.252,0.318,0.387,0.705,0
2009,SDP,75,87,3.94,0.242,0.321,0.381,0.701,0
2009,SEA,85,77,3.95,0.258,0.314,0.402,0.716,0
2009,SFG,88,74,4.06,0.257,0.309,0.389,0.699,0
2009,STL,91,71,4.51,0.263,0.332,0.415,0.747,1
2009,TBR,84,78,4.96,0.263,0.343,0.439,0.782,0
2009,TEX,87,75,4.84,0.26,0.32,0.445,0.764,0
2009,TOR,75,87,4.93,0.266,0.333,0.44,0.773,0
2009,WSN,59,103,4.38,0.258,0.337,0.406,0.743,0
2010,ARI,65,97,4.4,0.25,0.325,0.416,0.74,0
2010,ATL,91,71,4.56,0.258,0.339,0.401,0.74,1
2010,BAL,66,96,3.78,0.259,0.316,0.386,0.702,0
2010,BOS,89,73,5.05,0.268,0.339,0.451,0.79,0
2010,CHW,88,74,4.64,0.268,0.332,0.42,0.752,0
2010,CHC,75,87,4.23,0.257,0.32,0.401,0.721,0
2010,CIN,91,71,4.88,0.272,0.338,0.436,0.774,1
2010,CLE,69,93,3.99,0.248,0.322,0.378,0.7,0
2010,COL,83,79,4.75,0.263,0.336,0.425,0.76,0
2010,DET,81,81,4.64,0.268,0.335,0.415,0.75,0
2010,FLA,80,82,4.44,0.254,0.321,0.403,0.724,0
2010,HOU,76,86,3.77,0.247,0.303,0.362,0.665,0
2010,KCR,67,95,4.17,0.274,0.331,0.399,0.73,0
2010,LAA,80,82,4.2,0.248,0.311,0.39,0.702,0
2010,LAD,80,82,4.12,0.252,0.322,0.379,0.7,0
2010,MIL,77,85,4.63,0.262,0.335,0.424,0.759,0
2010,MIN,94,68,4.82,0.273,0.341,0.422,0.762,1
2010,NYY,95,67,5.3,0.267,0.35,0.436,0.786,0
2010,NYM,79,83,4.05,0.249,0.314,0.383,0.697,1
2010,OAK,81,81,4.09,0.256,0.324,0.378,0.702,0
2010,PHI,97,65,4.77,0.26,0.332,0.413,0.745,1
2010,PIT,57,105,3.62,0.242,0.304,0.373,0.678,0
2010,SDP,90,72,4.1,0.246,0.317,0.371,0.689,0
2010,SEA,61,101,3.17,0.236,0.298,0.339,0.637,0
2010,SFG,92,70,4.3,0.257,0.321,0.408,0.729,1
2010,STL,86,76,4.54,0.263,0.332,0.402,0.733,0
2010,TBR,96,66,4.95,0.247,0.333,0.403,0.736,1
2010,TEX,90,72,4.86,0.276,0.338,0.419,0.757,1
2010,TOR,85,77,4.66,0.248,0.312,0.454,0.766,0
2010,WSN,69,93,4.04,0.25,0.318,0.39,0.708,0
2011,ARI,94,68,4.51,0.25,0.322,0.413,0.736,1
2011,ATL,89,73,3.96,0.243,0.308,0.387,0.695,0
2011,BAL,69,93,4.37,0.257,0.316,0.413,0.729,0
2011,BOS,90,72,5.4,0.28,0.349,0.461,0.81,0
2011,CHW,79,83,4.04,0.252,0.319,0.388,0.706,0
2011,CHC,71,91,4.04,0.256,0.314,0.401,0.715,0
2011,CIN,79,83,4.54,0.256,0.326,0.408,0.734,0
2011,CLE,80,82,4.35,0.25,0.317,0.396,0.714,0
2011,COL,73,89,4.54,0.258,0.329,0.41,0.739,0
2011,DET,95,67,4.86,0.277,0.34,0.434,0.773,1
2011,FLA,72,90,3.86,0.247,0.318,0.388,0.706,0
2011,HOU,56,106,3.8,0.258,0.311,0.374,0.684,0
2011,KCR,71,91,4.51,0.275,0.329,0.415,0.744,0
2011,LAA,86,76,4.12,0.253,0.313,0.402,0.714,0
2011,LAD,82,79,4,0.257,0.322,0.375,0.697,0
2011,MIL,96,66,4.45,0.261,0.325,0.425,0.75,1
2011,MIN,63,99,3.82,0.247,0.306,0.36,0.666,0
2011,NYY,97,65,5.35,0.263,0.343,0.444,0.788,0
2011,NYM,77,85,4.43,0.264,0.335,0.391,0.725,1
2011,OAK,74,88,3.98,0.244,0.311,0.369,0.68,0
2011,PHI,102,60,4.4,0.253,0.323,0.395,0.717,1
2011,PIT,72,90,3.77,0.244,0.309,0.368,0.676,0
2011,SDP,71,91,3.66,0.237,0.305,0.349,0.653,0
2011,SEA,67,95,3.43,0.233,0.292,0.348,0.64,0
2011,SFG,86,76,3.52,0.242,0.303,0.368,0.671,0
2011,STL,90,72,4.7,0.273,0.341,0.425,0.766,1
2011,TBR,91,71,4.36,0.244,0.322,0.402,0.724,1
2011,TEX,96,66,5.28,0.283,0.34,0.46,0.8,1
2011,TOR,81,81,4.59,0.249,0.317,0.413,0.73,0
2011,WSN,80,81,3.88,0.242,0.309,0.383,0.691,0
